Date,City,Susceptible,Infected,Dead,Recovered,alpha,beta,gamma
2020-01-20,대전,1454068,0,0,0,0.0,0.0,0.0
2020-01-21,대전,1454068,0,0,0,0.0,0.0,0.0
2020-01-22,대전,1454068,0,0,0,0.0,0.0,0.0
2020-01-23,대전,1454068,0,0,0,0.0,0.0,0.0
2020-01-24,대전,1454068,0,0,0,0.0,0.0,0.0
2020-01-25,대전,1454068,0,0,0,0.0,0.0,0.0
2020-01-26,대전,1454068,0,0,0,0.0,0.0,0.0
2020-01-27,대전,1454068,0,0,0,0.0,0.0,0.0
2020-01-28,대전,1454068,0,0,0,0.0,0.0,0.0
2020-01-29,대전,1454068,0,0,0,0.0,0.0,0.0
2020-01-30,대전,1454068,0,0,0,0.0,0.0,0.0
2020-01-31,대전,1454068,0,0,0,0.0,0.0,0.0
2020-02-01,대전,1454068,0,0,0,0.0,0.0,0.0
2020-02-02,대전,1454068,0,0,0,0.0,0.0,0.0
2020-02-03,대전,1454068,0,0,0,0.0,0.0,0.0
2020-02-04,대전,1454068,0,0,0,0.0,0.0,0.0
2020-02-05,대전,1454068,0,0,0,0.0,0.0,0.0
2020-02-06,대전,1454068,0,0,0,0.0,0.0,0.0
2020-02-07,대전,1454068,0,0,0,0.0,0.0,0.0
2020-02-08,대전,1454068,0,0,0,0.0,0.0,0.0
2020-02-09,대전,1454068,0,0,0,0.0,0.0,0.0
2020-02-10,대전,1454068,0,0,0,0.0,0.0,0.0
2020-02-11,대전,1454068,0,0,0,0.0,0.0,0.0
2020-02-12,대전,1454068,0,0,0,0.0,0.0,0.0
2020-02-13,대전,1454068,0,0,0,0.0,0.0,0.0
2020-02-14,대전,1454068,0,0,0,0.0,0.0,0.0
2020-02-15,대전,1454068,0,0,0,0.0,0.0,0.0
2020-02-16,대전,1454068,0,0,0,0.0,0.0,0.0
2020-02-17,대전,1454068,0,0,0,0.0,0.0,0.0
2020-02-18,대전,1454068,0,0,0,0.0,0.0,0.0
2020-02-19,대전,1454068,0,0,0,0.0,0.0,0.0
2020-02-20,대전,1454068,0,0,0,0.0,0.0,0.0
2020-02-21,대전,1454068,0,0,0,0.0,0.0,0.0
2020-02-22,대전,1454067,1,0,0,1.0000006877262189,0.0,0.0
2020-02-23,대전,1454066,2,0,0,0.5000006877266919,0.0,0.0
2020-02-24,대전,1454065,3,0,0,0.0,0.0,0.0
2020-02-25,대전,1454065,3,0,0,0.0,0.0,0.0
2020-02-26,대전,1454065,3,0,0,1.666670105302491,0.0,0.0
2020-02-27,대전,1454060,8,0,0,0.500002750918119,0.0,0.0
2020-02-28,대전,1454056,12,0,0,0.08333402106475496,0.0,0.0
2020-02-29,대전,1454055,13,0,0,0.0,0.0,0.0
2020-03-01,대전,1454055,13,0,0,0.07692376465497153,0.0,0.0
2020-03-02,대전,1454054,14,0,0,0.0,0.0,0.0
2020-03-03,대전,1454054,14,0,0,0.07142925916093901,0.0,0.0
2020-03-04,대전,1454053,15,0,0,0.06666735439950722,0.0,0.0
2020-03-05,대전,1454052,16,0,0,0.12500137546662704,0.0,0.0
2020-03-06,대전,1454050,18,0,0,0.0,0.05555555555555555,0.0
2020-03-07,대전,1454050,17,0,1,0.0,0.058823529411764705,0.0
2020-03-08,대전,1454050,16,0,2,0.0,0.0625,0.0
2020-03-09,대전,1454050,15,0,3,0.0,0.0,0.0
2020-03-10,대전,1454050,15,0,3,0.0,0.0,0.0
2020-03-11,대전,1454050,15,0,3,0.1333349838955561,0.3333333333333333,0.0
2020-03-12,대전,1454048,12,0,8,0.16666895911735147,0.3333333333333333,0.0
2020-03-13,대전,1454046,10,0,12,0.0,0.1,0.0
2020-03-14,대전,1454046,9,0,13,0.0,0.0,0.0
2020-03-15,대전,1454046,9,0,13,0.0,0.1111111111111111,0.0
2020-03-16,대전,1454046,8,0,14,0.0,0.0,0.0
2020-03-17,대전,1454046,8,0,14,0.0,0.125,0.0
2020-03-18,대전,1454046,7,0,15,0.0,0.14285714285714285,0.0
2020-03-19,대전,1454046,6,0,16,0.0,0.3333333333333333,0.0
2020-03-20,대전,1454046,4,0,18,0.0,0.0,0.0
2020-03-21,대전,1454046,4,0,18,0.5000075650976654,0.0,0.0
2020-03-22,대전,1454044,6,0,18,0.0,0.0,0.0
2020-03-23,대전,1454044,6,0,18,0.0,0.0,0.0
2020-03-24,대전,1454044,6,0,18,0.0,0.0,0.0
2020-03-25,대전,1454044,6,0,18,1.0000165056903367,0.3333333333333333,0.0
2020-03-26,대전,1454038,10,0,20,0.10000206321980581,0.2,0.0
2020-03-27,대전,1454037,9,0,22,0.0,0.0,0.0
2020-03-28,대전,1454037,9,0,22,0.33334043998421864,0.0,0.0
2020-03-29,대전,1454034,12,0,22,0.0,0.0,0.0
2020-03-30,대전,1454034,12,0,22,0.16667056387035425,0.0,0.0
2020-03-31,대전,1454032,14,0,22,0.0,0.0,0.0
2020-04-01,대전,1454032,14,0,22,0.0,0.0,0.0
2020-04-02,대전,1454032,14,0,22,0.0,0.0,0.0
2020-04-03,대전,1454032,14,0,22,0.0,0.0,0.0
2020-04-04,대전,1454032,14,0,22,0.07143033990998822,0.14285714285714285,0.0
2020-04-05,대전,1454031,13,0,24,0.15385006869232445,0.0,0.0
2020-04-06,대전,1454029,15,0,24,0.0,0.0,0.0
2020-04-07,대전,1454029,15,0,24,0.0,0.0,0.0
2020-04-08,대전,1454029,15,0,24,0.0,0.4,0.0
2020-04-09,대전,1454029,9,0,30,0.0,0.1111111111111111,0.0
2020-04-10,대전,1454029,8,0,31,0.0,0.0,0.0
2020-04-11,대전,1454029,8,0,31,0.0,0.375,0.0
2020-04-12,대전,1454029,5,0,34,0.0,0.0,0.0
2020-04-13,대전,1454029,5,0,34,0.0,0.4,0.0
2020-04-14,대전,1454029,3,0,36,0.0,0.0,0.0
2020-04-15,대전,1454029,3,0,36,0.0,0.0,0.0
2020-04-16,대전,1454029,3,0,36,0.0,0.0,0.0
2020-04-17,대전,1454029,3,0,36,0.0,0.0,0.0
2020-04-18,대전,1454029,3,0,36,0.0,0.3333333333333333,0.0
2020-04-19,대전,1454029,2,0,37,0.0,1.0,0.0
2020-04-20,대전,1454029,0,0,39,0.0,0.0,0.0
2020-04-21,대전,1454029,0,0,39,0.0,0.0,0.0
2020-04-22,대전,1454028,1,0,39,0.0,0.0,0.0
2020-04-23,대전,1454028,1,0,39,0.0,0.0,0.0
2020-04-24,대전,1454028,1,0,39,0.0,0.0,0.0
2020-04-25,대전,1454028,1,0,39,0.0,0.0,0.0
2020-04-26,대전,1454028,1,0,39,0.0,0.0,0.0
