Date,City,Susceptible,Infected,Dead,Recovered,alpha,beta,gamma
2020-01-20,경남,3311631,0,0,0,0.0,0.0,0.0
2020-01-21,경남,3311631,0,0,0,0.0,0.0,0.0
2020-01-22,경남,3311631,0,0,0,0.0,0.0,0.0
2020-01-23,경남,3311631,0,0,0,0.0,0.0,0.0
2020-01-24,경남,3311631,0,0,0,0.0,0.0,0.0
2020-01-25,경남,3311631,0,0,0,0.0,0.0,0.0
2020-01-26,경남,3311631,0,0,0,0.0,0.0,0.0
2020-01-27,경남,3311631,0,0,0,0.0,0.0,0.0
2020-01-28,경남,3311631,0,0,0,0.0,0.0,0.0
2020-01-29,경남,3311631,0,0,0,0.0,0.0,0.0
2020-01-30,경남,3311631,0,0,0,0.0,0.0,0.0
2020-01-31,경남,3311631,0,0,0,0.0,0.0,0.0
2020-02-01,경남,3311631,0,0,0,0.0,0.0,0.0
2020-02-02,경남,3311631,0,0,0,0.0,0.0,0.0
2020-02-03,경남,3311631,0,0,0,0.0,0.0,0.0
2020-02-04,경남,3311631,0,0,0,0.0,0.0,0.0
2020-02-05,경남,3311631,0,0,0,0.0,0.0,0.0
2020-02-06,경남,3311631,0,0,0,0.0,0.0,0.0
2020-02-07,경남,3311631,0,0,0,0.0,0.0,0.0
2020-02-08,경남,3311631,0,0,0,0.0,0.0,0.0
2020-02-09,경남,3311631,0,0,0,0.0,0.0,0.0
2020-02-10,경남,3311631,0,0,0,0.0,0.0,0.0
2020-02-11,경남,3311631,0,0,0,0.0,0.0,0.0
2020-02-12,경남,3311631,0,0,0,0.0,0.0,0.0
2020-02-13,경남,3311631,0,0,0,0.0,0.0,0.0
2020-02-14,경남,3311631,0,0,0,0.0,0.0,0.0
2020-02-15,경남,3311631,0,0,0,0.0,0.0,0.0
2020-02-16,경남,3311631,0,0,0,0.0,0.0,0.0
2020-02-17,경남,3311631,0,0,0,0.0,0.0,0.0
2020-02-18,경남,3311631,0,0,0,0.0,0.0,0.0
2020-02-19,경남,3311631,0,0,0,0.0,0.0,0.0
2020-02-20,경남,3311631,0,0,0,0.0,0.0,0.0
