stdDay,Susceptible,Delta_Infected,Delta_Recovered,Delta_Dead,Delta_alpha,Delta_beta,Delta_gamma,Omicron_Infected,Omicron_Recovered,Omicron_Dead,Omicron_alpha,Omicron_beta,Omicron_gamma
2021-04-12,1595427,0.4,0.0,0.0,0.4005884318116717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-13,1595419,0.56,0.0,0.0,1.037243104878942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-14,1595390,1.1400000000000001,0.0,0.0,0.35140151069039605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-15,1595370,1.54,0.0,0.0,0.11705924343243584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-16,1595361,1.72,0.0,0.0,0.13974593167460256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-17,1595349,1.96,0.0,0.0,0.10219592281394613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-18,1595339,2.16,0.0,0.0,0.09273391864490058,0.17592592592592593,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-19,1595329,1.96,0.38,0.02,0.14307608560455468,0.08163265306122451,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-20,1595315,2.08,0.54,0.02,0.19260411314958537,0.2692307692307693,0.009615384615384616,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-21,1595295,1.9,1.1,0.04,0.2003107889136492,0.21052631578947364,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-22,1595276,1.88,1.5,0.04,0.31964868294917337,0.0957446808510638,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-23,1595246,2.3,1.68,0.04,0.13064148372591192,0.10434782608695653,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-24,1595231,2.3600000000000003,1.92,0.04,0.12732128726609476,0.08474576271186447,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25,1595216,2.46,2.12,0.04,0.2605797839605461,0.08130081300812997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-26,1595200,2.9,2.32,0.04,0.13815359872721616,0.09655172413793112,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-27,1595190,3.02,2.6,0.04,0.29186274349847013,0.1324503311258278,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-28,1595168,3.5,3.0,0.04,0.11447242099712562,0.10857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-29,1595158,3.5200000000000005,3.38,0.04,0.1365872676733419,0.17045454545454533,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-30,1595146,3.4000000000000004,3.9799999999999995,0.04,0.058920441064550175,0.08823529411764726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,1595141,3.3,4.28,0.04,0.13355341837074802,0.09090909090909086,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-02,1595130,3.4400000000000004,4.58,0.04,0.10482462681834345,0.18604651162790686,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-03,1595121,3.16,5.22,0.04,0.08875496679713016,0.12658227848101278,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-04,1595114,3.039999999999999,5.62,0.04,0.14497820416465207,0.2894736842105264,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-05,1595103,2.6000000000000005,6.5,0.04,0.09246226153999507,0.15384615384615394,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-06,1595097,2.4400000000000004,6.9,0.04,0.08210477605262445,0.1967213114754096,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-07,1595092,2.16,7.38,0.04,0.16694690128636258,0.07407407407407414,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-08,1595083,2.3199999999999994,7.54,0.08,0.1554341988948927,0.18965517241379332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
