stdDay,Susceptible,Delta_Infected,Delta_Recovered,Delta_Dead,Delta_alpha,Delta_beta,Delta_gamma,Omicron_Infected,Omicron_Recovered,Omicron_Dead,Omicron_alpha,Omicron_beta,Omicron_gamma
2021-04-12,1833044,0.06,0.0,0.0,2.0010605310074387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-13,1833038,0.18,0.0,0.0,0.11117039338821975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-14,1833037,0.19999999999999998,0.0,0.0,1.1005874949605492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-15,1833026,0.42,0.0,0.0,0.285868597296804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-16,1833020,0.54,0.0,0.0,0.22234297013186494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-17,1833014,0.6599999999999999,0.0,0.0,0.060639190343600685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-18,1833012,0.7,0.0,0.0,0.0857612342028156,0.08571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-19,1833009,0.7,0.06,0.0,0.11434849941894917,0.17142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-20,1833005,0.6599999999999999,0.18,0.0,0.12127897616044131,0.03030303030303029,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-21,1833001,0.72,0.19999999999999998,0.0,0.22234527483133457,0.3055555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-22,1832993,0.6600000000000001,0.42,0.0,0.18191965520078604,0.18181818181818185,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-23,1832987,0.6599999999999999,0.54,0.0,0.030320041781115976,0.18181818181818166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-24,1832986,0.56,0.6599999999999999,0.0,0.3216091900631771,0.07142857142857148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25,1832977,0.7,0.7,0.0,0.0,0.0857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-26,1832977,0.6399999999999999,0.76,0.0,0.1250708546806643,0.12499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-27,1832975,0.64,0.84,0.0,0.31267747787067474,0.12499999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-28,1832970,0.76,0.9199999999999999,0.0,0.10532322721565203,0.21052631578947387,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-29,1832968,0.6799999999999999,1.08,0.0,0.2942858089111405,0.17647058823529396,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-30,1832963,0.76,1.2,0.0,0.10532362944013254,0.026315789473684233,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,1832961,0.8200000000000001,1.22,0.0,0.048808564460428354,0.21951219512195114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-02,1832960,0.6800000000000002,1.4,0.0,1.4125780479789678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-03,1832936,1.6400000000000001,1.4,0.0,0.21964153579218287,0.048780487804878085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-04,1832927,1.92,1.48,0.0,0.2501485329202963,0.0833333333333333,0.020833333333333336,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-05,1832915,2.2,1.64,0.04,0.1819273968217045,0.03636363636363639,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-06,1832905,2.5200000000000005,1.72,0.04,0.19059164602223294,0.07936507936507933,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-07,1832893,2.8,1.92,0.04,0.17153360444780075,0.0285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-08,1832881,3.2,2.0,0.04,0.3001857731080195,0.012500000000000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-09,1832857,4.12,2.04,0.04,0.0655754207404281,0.23300970873786406,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-10,1832848,3.4299999999999997,3.0,0.04,0.08751929384336057,0.10495626822157432,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-11,1832838,3.3699999999999997,3.36,0.04,0.15143257766879425,0.142433234421365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-12,1832821,3.3999999999999995,3.84,0.04,0.1059513882761954,0.10588235294117658,0.011764705882352943,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-13,1832809,3.3599999999999994,4.2,0.08,0.4467225678492101,0.14285714285714274,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-14,1832759,4.380000000000001,4.68,0.08,0.17820432966969244,0.10958904109589049,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-15,1832733,4.68,5.16,0.08,0.08339167061796054,0.20512820512820512,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-16,1832720,4.11,6.12,0.08,0.146088634403398,0.0656934306569342,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-17,1832700,4.44,6.39,0.08,0.08113930266819445,0.06756756756756752,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-18,1832688,4.5,6.6899999999999995,0.08,0.06671497458014311,0.11333333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-19,1832678,4.290000000000001,7.199999999999999,0.08,0.04898678709135318,0.08391608391608397,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-20,1832671,4.14,7.56,0.08,0.12327881395317372,0.36231884057971037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-21,1832654,3.1499999999999986,9.06,0.08,0.15249419953897728,0.24761904761904752,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-22,1832638,2.8499999999999996,9.84,0.08,0.10534230753126023,0.1368421052631581,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-23,1832628,2.76,10.23,0.08,0.152289166870935,0.21739130434782597,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-24,1832614,2.58,10.83,0.08,0.08145761851269458,0.12790697674418608,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-25,1832607,2.4299999999999997,11.16,0.11,0.1359068808722044,0.11111111111111095,0.012345679012345685,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-26,1832596,2.459999999999999,11.43,0.14,0.19527314284643477,0.08536585365853624,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-27,1832580,2.7300000000000004,11.639999999999999,0.14,0.07698335343949723,0.1868131868131867,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-28,1832573,2.4299999999999997,12.149999999999999,0.14,0.06177700107855505,0.19753086419753108,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-29,1832568,2.0999999999999996,12.629999999999999,0.14,0.1286730190327765,0.1428571428571432,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-30,1832559,2.0699999999999985,12.93,0.14,0.08702565765899661,0.1884057971014497,0.014492753623188403,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-31,1832553,1.83,13.32,0.16999999999999998,0.08203265080347953,0.11475409836065523,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,1832548,1.7699999999999996,13.53,0.16999999999999998,0.16962730007155363,0.18644067796610178,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-02,1832538,1.7400000000000002,13.86,0.16999999999999998,0.0517658550882569,0.27586206896551746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-03,1832535,1.3499999999999996,14.34,0.16999999999999998,0.2668821786941769,0.15555555555555492,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-04,1832523,1.5,14.549999999999999,0.16999999999999998,0.2802281226483924,0.10000000000000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-05,1832509,1.7700000000000014,14.7,0.16999999999999998,0.15266781911705354,0.15254237288135558,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-06,1832500,1.7700000000000014,14.969999999999999,0.16999999999999998,0.23748444053922801,0.10169491525423806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-07,1832497,2.009999999999998,15.15,0.16999999999999998,0.5576758181222633,0.07462686567164116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-08,1832489,2.9800000000000004,15.299999999999999,0.16999999999999998,0.2821140825511827,0.10067114093959754,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-09,1832483,3.5199999999999996,15.6,0.16999999999999998,0.1592239997463948,0.02556818181818178,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-10,1832479,3.990000000000002,15.69,0.16999999999999998,0.17558574640279973,0.0902255639097738,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-11,1832474,4.330000000000002,16.049999999999997,0.16999999999999998,0.12943908355387568,0.09699769053117818,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-12,1832470,4.469999999999999,16.47,0.16999999999999998,0.09403900255213536,0.06040268456375831,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-13,1832467,4.620000000000001,16.74,0.16999999999999998,0.12131458285304439,0.0909090909090905,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-14,1832463,4.760000000000002,17.159999999999997,0.16999999999999998,0.08831007293269799,0.23529411764705896,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-15,1832460,4.060000000000002,18.279999999999998,0.16999999999999998,0.27609631221192377,0.2068965517241378,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-16,1832452,4.34,19.119999999999997,0.16999999999999998,0.1937135808794323,0.12903225806451665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-17,1832446,4.619999999999997,19.68,0.16999999999999998,0.12131597312934178,0.15151515151515144,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-18,1832442,4.48,20.38,0.16999999999999998,0.15638421297918298,0.12499999999999971,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-19,1832437,4.620000000000001,20.939999999999998,0.16999999999999998,0.09098742672884648,0.09090909090909126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-20,1832434,4.620000000000001,21.36,0.16999999999999998,0.8448846314111855,0.12121212121212091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-21,1832424,7.960000000000001,21.919999999999998,0.16999999999999998,0.39230033153547855,0.052763819095477595,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-22,1832416,10.66,22.34,0.16999999999999998,0.0732346217687069,0.10506566604127555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-23,1832414,10.320000000000004,23.459999999999997,0.16999999999999998,0.22694241864353734,0.08139534883720925,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-24,1832408,11.82,24.299999999999997,0.16999999999999998,0.5944298043525297,0.04737732656514401,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-25,1832390,18.28,24.86,0.16999999999999998,0.06406117165463004,0.03829321663019689,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-26,1832387,18.750000000000004,25.56,0.16999999999999998,0.12491094774193438,0.022400000000000087,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-27,1832381,20.669999999999998,25.98,0.16999999999999998,0.037769520063456366,0.18867924528301883,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-28,1832379,17.55,29.88,0.16999999999999998,0.08896829992291137,0.17777777777777784,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-29,1832375,15.990000000000002,33.0,0.16999999999999998,0.17088460764135574,0.04878048780487811,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-30,1832368,17.939999999999998,33.78,0.16999999999999998,0.10879341115834339,0.10869565217391282,0.021739130434782615,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,1832363,17.550000000000004,35.73,0.56,0.08896907678470063,0.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-02,1832359,12.089999999999996,42.75,0.56,0.22601064811059973,0.09677419354838726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-03,1832352,13.649999999999999,43.92,0.56,0.0,0.17142857142857118,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-04,1832352,11.310000000000002,46.26,0.56,0.31328158740027795,0.06896551724137939,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-05,1832346,14.07,47.04,0.56,0.1678856363762628,0.11087420042643939,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-06,1832342,14.869999999999997,48.6,0.56,0.39713450914359566,0.1573638197713515,0.026227303295225282,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-07,1832332,18.040000000000006,50.94,0.95,0.29461641584303544,0.10809312638580944,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-08,1832323,21.39999999999999,52.89,0.95,0.13797783612213702,0.07289719626168205,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-09,1832318,22.79,54.449999999999996,0.95,0.051825076794458844,0.11978938130759123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-10,1832316,21.240000000000002,57.18,0.95,0.16682129792750447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-11,1832310,24.779999999999994,57.18,0.95,0.4528021485239424,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-12,1832291,32.45,60.72,0.95,0.2365861595724101,0.07272727272727271,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-13,1832278,37.760000000000005,63.08,0.95,0.09383892618914813,0.15625000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
